GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
DOM,BANA,315544.43789703754,306055.6953569769,293785.5647085756,306139.00526709156,293130.2533597597,961946.4805284044,984809.010317395,1089551.9054587642,1290126.6139638536,1218088.67894458,0.328,0.3108,0.2696,0.2373,0.2406
DZA,BANA,5.5133000684310876,5.80845549803559,6.192293460043053,6.23962794705186,6.537017596778821,56.35256543406167,55.76615168918068,56.51574950873536,55.40260730713387,55.72090221001113,0.09784,0.1042,0.1096,0.1126,0.1173
ECU,BANA,721934.2869896787,693145.306032957,700430.9439836518,703383.3959318533,736006.5491806794,4340308.035482966,4840409.201789831,4411900.652989027,5187047.077556729,4983931.901943486,0.1663,0.1432,0.1588,0.1356,0.1477
EGY,BANA,243.13944723840777,232.5846366112212,219.95702068266135,306.55001918628966,365.3092251539777,79414.22318607957,69872.01765444383,71488.60117319832,70416.24385654532,70732.4372164935,0.003062,0.003329,0.003077,0.004353,0.005165
ESP,BANA,3099.1625019038224,2869.43767654758,2627.5157034399867,2389.0489876183374,2148.3768273795004,33777.24838195804,32890.489088263086,28047.48094209954,37565.47122138743,34877.42483077925,0.09175,0.08724,0.09368,0.0636,0.0616
ETH,BANA,95664.16888707558,99431.08004671312,102651.61009098557,106344.27356486589,108499.20056448125,214020.49598126605,322714.9140290004,284111.82597860985,223526.6056876474,264612.3307054967,0.447,0.3081,0.3613,0.4758,0.41
FJI,BANA,778.2567330177714,762.4034586804211,728.7789271680731,694.4249145026064,670.4429912828299,867.6440505275539,751.0317951070712,999.7114074254713,1224.2103699435265,1127.532478657724,0.897,1.015,0.729,0.5672,0.5946
FRA,BANA,101.53166190237448,101.47498074897574,102.52387615466257,107.58979709834446,110.36559483755968,4090.4334962425346,4410.943655447392,4342.7515726989295,4099.391612553757,4233.657246124997,0.02482,0.02301,0.02361,0.02625,0.02607
GAB,BANA,26420.71890257201,25187.17007027478,24918.134079184816,23769.034533936756,23266.456716436587,4852.60218231542,4833.094371438108,4868.448419773623,4905.14200266642,4889.920436613039,5.445,5.211,5.118,4.846,4.758
GHA,BANA,66640.8276428902,71134.73194075629,76960.67909026306,81842.37524581942,86856.22477529044,62573.95425209338,61109.00270296602,62066.56311512252,63335.48417401794,62836.71958130826,1.065,1.164,1.24,1.292,1.382
GIN,BANA,46367.88698437242,48671.23695489656,49577.61065901184,52224.79885751991,54410.04391563078,69854.27645529338,70941.26357653446,70655.86069559322,70721.23077882662,70741.6483976596,0.6638,0.6861,0.7017,0.7385,0.7691
GLP,BANA,1175.9850622714227,1114.27825801651,1058.5990646980106,986.8430370935564,909.2057958567385,10612.34148762933,11450.763488820372,11282.178635358927,10628.349544931307,10984.086097065538,0.1108,0.09731,0.09383,0.09285,0.08277
