GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
BRB,BRB.5_1,TROF,0.2042,0.1799,0.1558,0.1317,0.1077,0.08375
BRB,BRB.6_1,TROF,0.4781,0.4136,0.3495,0.2856,0.2222,0.1594
BRB,BRB.7_1,TROF,0.1825,0.16,0.1379,0.1161,0.09442,0.07282
BRB,BRB.8_1,TROF,0.1765,0.2025,0.1881,0.1774,0.1628,0.1483
BRB,BRB.9_1,TROF,0.1877,0.1624,0.1376,0.1133,0.08929,0.06576
BRN,BRN.1_1,TROF,3.771,3.44,3.079,2.715,2.352,1.996
BRN,BRN.2_1,TROF,1.956,1.849,1.775,1.65,1.696,1.538
BRN,BRN.3_1,TROF,0.1713,0.1643,0.5628,0.5513,0.5295,0.4912
BRN,BRN.4_1,TROF,0.6322,0.5626,0.4926,0.4434,0.3904,0.3499
BTN,BTN.11_1,TROF,2.041,1.925,1.918,1.771,1.633,1.451
BTN,BTN.12_1,TROF,0.297,0.5156,0.5689,0.5543,0.5859,0.6284
BTN,BTN.13_1,TROF,0.4303,0.5844,0.6675,0.7109,0.6942,0.6727
BTN,BTN.15_1,TROF,3.043,2.888,3.032,3.559,5.089,5.08
BTN,BTN.16_1,TROF,98.34,109.9,109.2,108,107.3,105.3
BTN,BTN.17_1,TROF,47.1,44.47,40.6,36.38,33.55,29.41
BTN,BTN.18_1,TROF,203.1,296.5,393.7,404.6,407.2,414.5
BTN,BTN.19_1,TROF,8.224,7.61,10.5,11.18,12.62,16.39
BTN,BTN.20_1,TROF,122.8,128.8,124.9,202.3,205,213.1
BTN,BTN.2_1,TROF,0.2024,0.24,0.2601,0.2551,0.2847,0.392
BTN,BTN.3_1,TROF,7.677,8.596,8.55,8.827,9.498,9.067
BTN,BTN.5_1,TROF,0,0,0,0,0,0
BTN,BTN.6_1,TROF,159.7,150.3,146.5,170.9,258.6,246.8
BTN,BTN.7_1,TROF,38.3,40.04,41.31,43.4,44.7,46.44
BTN,BTN.9_1,TROF,2.002,1.967,1.858,1.838,1.752,1.643
BWA,BWA.11_1,TROF,0.2218,0.197,0.1735,0.1572,0.1354,0.1141
BWA,BWA.14_1,TROF,0,0,0,0,0,0
BWA,BWA.1_1,TROF,0.008128,0.006744,0.005696,0.004723,0.004452,0.003869
BWA,BWA.3_1,TROF,0.2493,0.2184,0.1885,0.1586,0.1286,0.09867
BWA,BWA.8_1,TROF,0.125,0.1158,0.1065,0.09726,0.088,0.07873
CAF,CAF.10_1,TROF,6.767,6.693,6.505,6.346,6.377,6.395
CAF,CAF.11_1,TROF,4.757,5.143,5.266,5.899,6.232,6.683
